Classifier,Accuracy,Precision,Recall,F1 Score,R-squared
Random_Forest,0.9335284280936454,0.8748639825897715,0.9481132075471698,0.9100169779286927,0.709520725388601
Gradient_Boosting,0.9322742474916388,0.8819599109131403,0.9339622641509434,0.9072164948453608,0.7040399843581973
K-Nearest_Neighbors,0.8938127090301003,0.8228260869565217,0.8926886792452831,0.8563348416289592,0.5359639260924821
Naive_Bayes,0.8933946488294314,0.7707762557077625,0.9952830188679245,0.8687596500257334,0.5341370124156809
Decision_Tree,0.9138795986622074,0.8489130434782609,0.9209905660377359,0.8834841628959277,0.6236557825789422
Neural_Network,0.8963210702341137,0.8579952267303103,0.847877358490566,0.8529062870699881,0.5469254081532897
